16242
PING 10.0.0.8 (10.0.0.8) 56(84) bytes of data.
64 bytes from 10.0.0.8: icmp_seq=366 ttl=64 time=3852 ms
64 bytes from 10.0.0.8: icmp_seq=367 ttl=64 time=3833 ms
64 bytes from 10.0.0.8: icmp_seq=368 ttl=64 time=3811 ms
64 bytes from 10.0.0.8: icmp_seq=369 ttl=64 time=3789 ms
64 bytes from 10.0.0.8: icmp_seq=370 ttl=64 time=4008 ms
64 bytes from 10.0.0.8: icmp_seq=371 ttl=64 time=3989 ms
64 bytes from 10.0.0.8: icmp_seq=372 ttl=64 time=3965 ms
64 bytes from 10.0.0.8: icmp_seq=373 ttl=64 time=3946 ms
64 bytes from 10.0.0.8: icmp_seq=374 ttl=64 time=3916 ms
64 bytes from 10.0.0.8: icmp_seq=375 ttl=64 time=3896 ms
64 bytes from 10.0.0.8: icmp_seq=376 ttl=64 time=3871 ms
64 bytes from 10.0.0.8: icmp_seq=377 ttl=64 time=3853 ms
64 bytes from 10.0.0.8: icmp_seq=378 ttl=64 time=5063 ms
64 bytes from 10.0.0.8: icmp_seq=379 ttl=64 time=4064 ms
64 bytes from 10.0.0.8: icmp_seq=380 ttl=64 time=4035 ms
64 bytes from 10.0.0.8: icmp_seq=381 ttl=64 time=4017 ms
64 bytes from 10.0.0.8: icmp_seq=382 ttl=64 time=3989 ms
64 bytes from 10.0.0.8: icmp_seq=383 ttl=64 time=3969 ms
64 bytes from 10.0.0.8: icmp_seq=384 ttl=64 time=3943 ms
64 bytes from 10.0.0.8: icmp_seq=385 ttl=64 time=4165 ms
64 bytes from 10.0.0.8: icmp_seq=386 ttl=64 time=4143 ms
64 bytes from 10.0.0.8: icmp_seq=387 ttl=64 time=4122 ms
64 bytes from 10.0.0.8: icmp_seq=388 ttl=64 time=4100 ms
64 bytes from 10.0.0.8: icmp_seq=389 ttl=64 time=4080 ms
64 bytes from 10.0.0.8: icmp_seq=390 ttl=64 time=4055 ms
64 bytes from 10.0.0.8: icmp_seq=391 ttl=64 time=4035 ms
64 bytes from 10.0.0.8: icmp_seq=392 ttl=64 time=4011 ms
64 bytes from 10.0.0.8: icmp_seq=393 ttl=64 time=4231 ms
64 bytes from 10.0.0.8: icmp_seq=394 ttl=64 time=4207 ms
64 bytes from 10.0.0.8: icmp_seq=395 ttl=64 time=4186 ms
64 bytes from 10.0.0.8: icmp_seq=396 ttl=64 time=4162 ms
64 bytes from 10.0.0.8: icmp_seq=397 ttl=64 time=4144 ms
64 bytes from 10.0.0.8: icmp_seq=398 ttl=64 time=4123 ms
64 bytes from 10.0.0.8: icmp_seq=399 ttl=64 time=4105 ms
64 bytes from 10.0.0.8: icmp_seq=400 ttl=64 time=4084 ms
64 bytes from 10.0.0.8: icmp_seq=401 ttl=64 time=4309 ms
64 bytes from 10.0.0.8: icmp_seq=402 ttl=64 time=4288 ms
64 bytes from 10.0.0.8: icmp_seq=403 ttl=64 time=4272 ms
64 bytes from 10.0.0.8: icmp_seq=404 ttl=64 time=4247 ms
64 bytes from 10.0.0.8: icmp_seq=405 ttl=64 time=4239 ms
64 bytes from 10.0.0.8: icmp_seq=406 ttl=64 time=4215 ms
64 bytes from 10.0.0.8: icmp_seq=407 ttl=64 time=4193 ms
64 bytes from 10.0.0.8: icmp_seq=408 ttl=64 time=4170 ms
64 bytes from 10.0.0.8: icmp_seq=409 ttl=64 time=4389 ms
64 bytes from 10.0.0.8: icmp_seq=410 ttl=64 time=4364 ms
64 bytes from 10.0.0.8: icmp_seq=411 ttl=64 time=4343 ms
64 bytes from 10.0.0.8: icmp_seq=412 ttl=64 time=4320 ms
64 bytes from 10.0.0.8: icmp_seq=413 ttl=64 time=4297 ms
64 bytes from 10.0.0.8: icmp_seq=414 ttl=64 time=4272 ms
64 bytes from 10.0.0.8: icmp_seq=415 ttl=64 time=4252 ms
64 bytes from 10.0.0.8: icmp_seq=416 ttl=64 time=5459 ms
64 bytes from 10.0.0.8: icmp_seq=417 ttl=64 time=4457 ms
64 bytes from 10.0.0.8: icmp_seq=418 ttl=64 time=4428 ms
64 bytes from 10.0.0.8: icmp_seq=419 ttl=64 time=4408 ms
64 bytes from 10.0.0.8: icmp_seq=420 ttl=64 time=4387 ms
64 bytes from 10.0.0.8: icmp_seq=421 ttl=64 time=4372 ms
64 bytes from 10.0.0.8: icmp_seq=422 ttl=64 time=4347 ms
64 bytes from 10.0.0.8: icmp_seq=423 ttl=64 time=4326 ms
64 bytes from 10.0.0.8: icmp_seq=424 ttl=64 time=4542 ms
64 bytes from 10.0.0.8: icmp_seq=425 ttl=64 time=4522 ms
64 bytes from 10.0.0.8: icmp_seq=426 ttl=64 time=4496 ms
64 bytes from 10.0.0.8: icmp_seq=427 ttl=64 time=4475 ms
64 bytes from 10.0.0.8: icmp_seq=428 ttl=64 time=4452 ms
64 bytes from 10.0.0.8: icmp_seq=429 ttl=64 time=4429 ms
64 bytes from 10.0.0.8: icmp_seq=430 ttl=64 time=4406 ms
64 bytes from 10.0.0.8: icmp_seq=431 ttl=64 time=4626 ms
64 bytes from 10.0.0.8: icmp_seq=432 ttl=64 time=4604 ms
64 bytes from 10.0.0.8: icmp_seq=433 ttl=64 time=4581 ms
64 bytes from 10.0.0.8: icmp_seq=434 ttl=64 time=4558 ms
64 bytes from 10.0.0.8: icmp_seq=435 ttl=64 time=4538 ms
64 bytes from 10.0.0.8: icmp_seq=436 ttl=64 time=4513 ms
64 bytes from 10.0.0.8: icmp_seq=437 ttl=64 time=4490 ms
64 bytes from 10.0.0.8: icmp_seq=438 ttl=64 time=4710 ms
64 bytes from 10.0.0.8: icmp_seq=439 ttl=64 time=4688 ms
64 bytes from 10.0.0.8: icmp_seq=440 ttl=64 time=4666 ms
64 bytes from 10.0.0.8: icmp_seq=441 ttl=64 time=4648 ms
64 bytes from 10.0.0.8: icmp_seq=442 ttl=64 time=4628 ms
64 bytes from 10.0.0.8: icmp_seq=443 ttl=64 time=4611 ms
64 bytes from 10.0.0.8: icmp_seq=444 ttl=64 time=4590 ms
64 bytes from 10.0.0.8: icmp_seq=445 ttl=64 time=4574 ms
64 bytes from 10.0.0.8: icmp_seq=446 ttl=64 time=4552 ms
64 bytes from 10.0.0.8: icmp_seq=447 ttl=64 time=4777 ms
64 bytes from 10.0.0.8: icmp_seq=448 ttl=64 time=4768 ms
64 bytes from 10.0.0.8: icmp_seq=449 ttl=64 time=4750 ms
64 bytes from 10.0.0.8: icmp_seq=450 ttl=64 time=4724 ms
64 bytes from 10.0.0.8: icmp_seq=451 ttl=64 time=4705 ms
64 bytes from 10.0.0.8: icmp_seq=452 ttl=64 time=4680 ms
64 bytes from 10.0.0.8: icmp_seq=453 ttl=64 time=4662 ms
64 bytes from 10.0.0.8: icmp_seq=454 ttl=64 time=6355 ms
64 bytes from 10.0.0.8: icmp_seq=455 ttl=64 time=5355 ms
64 bytes from 10.0.0.8: icmp_seq=456 ttl=64 time=4844 ms
64 bytes from 10.0.0.8: icmp_seq=457 ttl=64 time=4824 ms
64 bytes from 10.0.0.8: icmp_seq=458 ttl=64 time=4803 ms
64 bytes from 10.0.0.8: icmp_seq=459 ttl=64 time=4778 ms
64 bytes from 10.0.0.8: icmp_seq=460 ttl=64 time=4756 ms
64 bytes from 10.0.0.8: icmp_seq=461 ttl=64 time=4731 ms
64 bytes from 10.0.0.8: icmp_seq=462 ttl=64 time=4956 ms
64 bytes from 10.0.0.8: icmp_seq=463 ttl=64 time=4932 ms
64 bytes from 10.0.0.8: icmp_seq=464 ttl=64 time=4912 ms
64 bytes from 10.0.0.8: icmp_seq=465 ttl=64 time=4888 ms
64 bytes from 10.0.0.8: icmp_seq=466 ttl=64 time=4867 ms
64 bytes from 10.0.0.8: icmp_seq=467 ttl=64 time=4844 ms
64 bytes from 10.0.0.8: icmp_seq=468 ttl=64 time=4823 ms
64 bytes from 10.0.0.8: icmp_seq=469 ttl=64 time=4800 ms
64 bytes from 10.0.0.8: icmp_seq=470 ttl=64 time=5021 ms
64 bytes from 10.0.0.8: icmp_seq=471 ttl=64 time=4998 ms
64 bytes from 10.0.0.8: icmp_seq=472 ttl=64 time=4975 ms
64 bytes from 10.0.0.8: icmp_seq=473 ttl=64 time=4955 ms
64 bytes from 10.0.0.8: icmp_seq=474 ttl=64 time=4933 ms
64 bytes from 10.0.0.8: icmp_seq=475 ttl=64 time=4903 ms
64 bytes from 10.0.0.8: icmp_seq=476 ttl=64 time=4883 ms
64 bytes from 10.0.0.8: icmp_seq=477 ttl=64 time=5101 ms
64 bytes from 10.0.0.8: icmp_seq=478 ttl=64 time=5083 ms
64 bytes from 10.0.0.8: icmp_seq=479 ttl=64 time=5060 ms
64 bytes from 10.0.0.8: icmp_seq=480 ttl=64 time=5037 ms
64 bytes from 10.0.0.8: icmp_seq=481 ttl=64 time=5018 ms
64 bytes from 10.0.0.8: icmp_seq=482 ttl=64 time=4999 ms
64 bytes from 10.0.0.8: icmp_seq=483 ttl=64 time=4977 ms
64 bytes from 10.0.0.8: icmp_seq=484 ttl=64 time=4958 ms
64 bytes from 10.0.0.8: icmp_seq=485 ttl=64 time=5179 ms
64 bytes from 10.0.0.8: icmp_seq=486 ttl=64 time=5160 ms
64 bytes from 10.0.0.8: icmp_seq=487 ttl=64 time=5141 ms
64 bytes from 10.0.0.8: icmp_seq=488 ttl=64 time=5125 ms
64 bytes from 10.0.0.8: icmp_seq=489 ttl=64 time=5101 ms
64 bytes from 10.0.0.8: icmp_seq=490 ttl=64 time=5078 ms
64 bytes from 10.0.0.8: icmp_seq=491 ttl=64 time=5058 ms
64 bytes from 10.0.0.8: icmp_seq=492 ttl=64 time=5051 ms
64 bytes from 10.0.0.8: icmp_seq=493 ttl=64 time=7234 ms
64 bytes from 10.0.0.8: icmp_seq=494 ttl=64 time=6232 ms
64 bytes from 10.0.0.8: icmp_seq=495 ttl=64 time=5230 ms
64 bytes from 10.0.0.8: icmp_seq=496 ttl=64 time=5203 ms
64 bytes from 10.0.0.8: icmp_seq=497 ttl=64 time=5180 ms
64 bytes from 10.0.0.8: icmp_seq=498 ttl=64 time=5163 ms
64 bytes from 10.0.0.8: icmp_seq=499 ttl=64 time=5143 ms
64 bytes from 10.0.0.8: icmp_seq=500 ttl=64 time=5127 ms
64 bytes from 10.0.0.8: icmp_seq=501 ttl=64 time=5344 ms
64 bytes from 10.0.0.8: icmp_seq=502 ttl=64 time=5322 ms
64 bytes from 10.0.0.8: icmp_seq=503 ttl=64 time=5297 ms
64 bytes from 10.0.0.8: icmp_seq=504 ttl=64 time=5276 ms
64 bytes from 10.0.0.8: icmp_seq=505 ttl=64 time=5252 ms
64 bytes from 10.0.0.8: icmp_seq=506 ttl=64 time=5230 ms
64 bytes from 10.0.0.8: icmp_seq=507 ttl=64 time=5205 ms
64 bytes from 10.0.0.8: icmp_seq=508 ttl=64 time=5427 ms
64 bytes from 10.0.0.8: icmp_seq=509 ttl=64 time=5402 ms
64 bytes from 10.0.0.8: icmp_seq=510 ttl=64 time=5380 ms
64 bytes from 10.0.0.8: icmp_seq=511 ttl=64 time=5356 ms
64 bytes from 10.0.0.8: icmp_seq=512 ttl=64 time=5336 ms
64 bytes from 10.0.0.8: icmp_seq=513 ttl=64 time=5311 ms
64 bytes from 10.0.0.8: icmp_seq=514 ttl=64 time=5289 ms
64 bytes from 10.0.0.8: icmp_seq=515 ttl=64 time=5505 ms
64 bytes from 10.0.0.8: icmp_seq=516 ttl=64 time=5485 ms
64 bytes from 10.0.0.8: icmp_seq=517 ttl=64 time=5460 ms
64 bytes from 10.0.0.8: icmp_seq=518 ttl=64 time=5440 ms
64 bytes from 10.0.0.8: icmp_seq=519 ttl=64 time=5414 ms
64 bytes from 10.0.0.8: icmp_seq=520 ttl=64 time=5395 ms
64 bytes from 10.0.0.8: icmp_seq=521 ttl=64 time=5368 ms
64 bytes from 10.0.0.8: icmp_seq=522 ttl=64 time=5347 ms
64 bytes from 10.0.0.8: icmp_seq=523 ttl=64 time=5564 ms
64 bytes from 10.0.0.8: icmp_seq=524 ttl=64 time=5544 ms
64 bytes from 10.0.0.8: icmp_seq=525 ttl=64 time=5519 ms
64 bytes from 10.0.0.8: icmp_seq=526 ttl=64 time=5498 ms
64 bytes from 10.0.0.8: icmp_seq=527 ttl=64 time=5477 ms
64 bytes from 10.0.0.8: icmp_seq=528 ttl=64 time=5459 ms
64 bytes from 10.0.0.8: icmp_seq=529 ttl=64 time=5440 ms
64 bytes from 10.0.0.8: icmp_seq=530 ttl=64 time=5422 ms
64 bytes from 10.0.0.8: icmp_seq=531 ttl=64 time=5642 ms
64 bytes from 10.0.0.8: icmp_seq=532 ttl=64 time=5624 ms
64 bytes from 10.0.0.8: icmp_seq=533 ttl=64 time=8075 ms
64 bytes from 10.0.0.8: icmp_seq=534 ttl=64 time=7074 ms
64 bytes from 10.0.0.8: icmp_seq=535 ttl=64 time=6073 ms
64 bytes from 10.0.0.8: icmp_seq=536 ttl=64 time=5563 ms
64 bytes from 10.0.0.8: icmp_seq=537 ttl=64 time=5542 ms
64 bytes from 10.0.0.8: icmp_seq=538 ttl=64 time=5525 ms
64 bytes from 10.0.0.8: icmp_seq=539 ttl=64 time=5749 ms
64 bytes from 10.0.0.8: icmp_seq=540 ttl=64 time=5733 ms
64 bytes from 10.0.0.8: icmp_seq=541 ttl=64 time=5714 ms
64 bytes from 10.0.0.8: icmp_seq=542 ttl=64 time=5693 ms
64 bytes from 10.0.0.8: icmp_seq=543 ttl=64 time=5670 ms
64 bytes from 10.0.0.8: icmp_seq=544 ttl=64 time=5650 ms
64 bytes from 10.0.0.8: icmp_seq=545 ttl=64 time=5625 ms
64 bytes from 10.0.0.8: icmp_seq=546 ttl=64 time=5604 ms
64 bytes from 10.0.0.8: icmp_seq=547 ttl=64 time=5822 ms
64 bytes from 10.0.0.8: icmp_seq=548 ttl=64 time=5803 ms
64 bytes from 10.0.0.8: icmp_seq=549 ttl=64 time=5780 ms
64 bytes from 10.0.0.8: icmp_seq=550 ttl=64 time=5759 ms
64 bytes from 10.0.0.8: icmp_seq=551 ttl=64 time=5737 ms
64 bytes from 10.0.0.8: icmp_seq=552 ttl=64 time=5715 ms
64 bytes from 10.0.0.8: icmp_seq=553 ttl=64 time=5693 ms
64 bytes from 10.0.0.8: icmp_seq=554 ttl=64 time=5913 ms
64 bytes from 10.0.0.8: icmp_seq=555 ttl=64 time=5889 ms
64 bytes from 10.0.0.8: icmp_seq=556 ttl=64 time=5869 ms
64 bytes from 10.0.0.8: icmp_seq=557 ttl=64 time=5845 ms
64 bytes from 10.0.0.8: icmp_seq=558 ttl=64 time=5825 ms
64 bytes from 10.0.0.8: icmp_seq=559 ttl=64 time=5801 ms
64 bytes from 10.0.0.8: icmp_seq=560 ttl=64 time=5782 ms
64 bytes from 10.0.0.8: icmp_seq=561 ttl=64 time=5759 ms
64 bytes from 10.0.0.8: icmp_seq=562 ttl=64 time=5984 ms
64 bytes from 10.0.0.8: icmp_seq=563 ttl=64 time=5960 ms
64 bytes from 10.0.0.8: icmp_seq=564 ttl=64 time=5940 ms
64 bytes from 10.0.0.8: icmp_seq=565 ttl=64 time=5917 ms
64 bytes from 10.0.0.8: icmp_seq=566 ttl=64 time=5899 ms
64 bytes from 10.0.0.8: icmp_seq=567 ttl=64 time=5874 ms
64 bytes from 10.0.0.8: icmp_seq=568 ttl=64 time=5857 ms
64 bytes from 10.0.0.8: icmp_seq=569 ttl=64 time=5832 ms
64 bytes from 10.0.0.8: icmp_seq=570 ttl=64 time=6056 ms
64 bytes from 10.0.0.8: icmp_seq=571 ttl=64 time=6037 ms
64 bytes from 10.0.0.8: icmp_seq=572 ttl=64 time=6021 ms
64 bytes from 10.0.0.8: icmp_seq=573 ttl=64 time=6001 ms
64 bytes from 10.0.0.8: icmp_seq=574 ttl=64 time=8927 ms
64 bytes from 10.0.0.8: icmp_seq=575 ttl=64 time=7926 ms
64 bytes from 10.0.0.8: icmp_seq=576 ttl=64 time=6926 ms
64 bytes from 10.0.0.8: icmp_seq=577 ttl=64 time=5924 ms
64 bytes from 10.0.0.8: icmp_seq=578 ttl=64 time=6151 ms
64 bytes from 10.0.0.8: icmp_seq=579 ttl=64 time=6132 ms
64 bytes from 10.0.0.8: icmp_seq=580 ttl=64 time=6136 ms
64 bytes from 10.0.0.8: icmp_seq=581 ttl=64 time=6115 ms
64 bytes from 10.0.0.8: icmp_seq=582 ttl=64 time=6099 ms
64 bytes from 10.0.0.8: icmp_seq=583 ttl=64 time=6076 ms
64 bytes from 10.0.0.8: icmp_seq=584 ttl=64 time=6056 ms
64 bytes from 10.0.0.8: icmp_seq=585 ttl=64 time=6031 ms
64 bytes from 10.0.0.8: icmp_seq=586 ttl=64 time=6252 ms
64 bytes from 10.0.0.8: icmp_seq=587 ttl=64 time=6225 ms
64 bytes from 10.0.0.8: icmp_seq=588 ttl=64 time=6203 ms
64 bytes from 10.0.0.8: icmp_seq=589 ttl=64 time=6179 ms
64 bytes from 10.0.0.8: icmp_seq=590 ttl=64 time=6156 ms
64 bytes from 10.0.0.8: icmp_seq=591 ttl=64 time=6131 ms
64 bytes from 10.0.0.8: icmp_seq=592 ttl=64 time=6107 ms
64 bytes from 10.0.0.8: icmp_seq=593 ttl=64 time=6322 ms
64 bytes from 10.0.0.8: icmp_seq=594 ttl=64 time=6300 ms
64 bytes from 10.0.0.8: icmp_seq=595 ttl=64 time=6272 ms
64 bytes from 10.0.0.8: icmp_seq=596 ttl=64 time=6252 ms
64 bytes from 10.0.0.8: icmp_seq=597 ttl=64 time=6226 ms
64 bytes from 10.0.0.8: icmp_seq=598 ttl=64 time=6203 ms
64 bytes from 10.0.0.8: icmp_seq=599 ttl=64 time=6178 ms
64 bytes from 10.0.0.8: icmp_seq=600 ttl=64 time=6158 ms
64 bytes from 10.0.0.8: icmp_seq=601 ttl=64 time=6374 ms
64 bytes from 10.0.0.8: icmp_seq=602 ttl=64 time=6355 ms
64 bytes from 10.0.0.8: icmp_seq=603 ttl=64 time=6328 ms
64 bytes from 10.0.0.8: icmp_seq=604 ttl=64 time=6307 ms
64 bytes from 10.0.0.8: icmp_seq=605 ttl=64 time=6281 ms
64 bytes from 10.0.0.8: icmp_seq=606 ttl=64 time=6261 ms
64 bytes from 10.0.0.8: icmp_seq=607 ttl=64 time=6235 ms
64 bytes from 10.0.0.8: icmp_seq=608 ttl=64 time=6458 ms
64 bytes from 10.0.0.8: icmp_seq=609 ttl=64 time=6431 ms
64 bytes from 10.0.0.8: icmp_seq=610 ttl=64 time=6411 ms
64 bytes from 10.0.0.8: icmp_seq=611 ttl=64 time=6386 ms
64 bytes from 10.0.0.8: icmp_seq=612 ttl=64 time=6365 ms
64 bytes from 10.0.0.8: icmp_seq=613 ttl=64 time=6340 ms
64 bytes from 10.0.0.8: icmp_seq=614 ttl=64 time=6319 ms
64 bytes from 10.0.0.8: icmp_seq=615 ttl=64 time=6539 ms
64 bytes from 10.0.0.8: icmp_seq=620 ttl=64 time=6443 ms
64 bytes from 10.0.0.8: icmp_seq=621 ttl=64 time=6423 ms
64 bytes from 10.0.0.8: icmp_seq=622 ttl=64 time=6411 ms
64 bytes from 10.0.0.8: icmp_seq=623 ttl=64 time=6627 ms
64 bytes from 10.0.0.8: icmp_seq=624 ttl=64 time=6604 ms
64 bytes from 10.0.0.8: icmp_seq=625 ttl=64 time=6604 ms
64 bytes from 10.0.0.8: icmp_seq=626 ttl=64 time=6585 ms
64 bytes from 10.0.0.8: icmp_seq=627 ttl=64 time=6559 ms
64 bytes from 10.0.0.8: icmp_seq=628 ttl=64 time=6538 ms
64 bytes from 10.0.0.8: icmp_seq=629 ttl=64 time=6515 ms
64 bytes from 10.0.0.8: icmp_seq=630 ttl=64 time=6495 ms
64 bytes from 10.0.0.8: icmp_seq=631 ttl=64 time=6714 ms
64 bytes from 10.0.0.8: icmp_seq=632 ttl=64 time=6694 ms
64 bytes from 10.0.0.8: icmp_seq=633 ttl=64 time=6673 ms
64 bytes from 10.0.0.8: icmp_seq=634 ttl=64 time=6651 ms
64 bytes from 10.0.0.8: icmp_seq=635 ttl=64 time=6628 ms
64 bytes from 10.0.0.8: icmp_seq=636 ttl=64 time=6609 ms
64 bytes from 10.0.0.8: icmp_seq=637 ttl=64 time=6585 ms
64 bytes from 10.0.0.8: icmp_seq=638 ttl=64 time=6564 ms
64 bytes from 10.0.0.8: icmp_seq=639 ttl=64 time=6786 ms
64 bytes from 10.0.0.8: icmp_seq=640 ttl=64 time=6767 ms
64 bytes from 10.0.0.8: icmp_seq=641 ttl=64 time=6743 ms
64 bytes from 10.0.0.8: icmp_seq=642 ttl=64 time=6721 ms
64 bytes from 10.0.0.8: icmp_seq=643 ttl=64 time=6698 ms
64 bytes from 10.0.0.8: icmp_seq=644 ttl=64 time=6678 ms
64 bytes from 10.0.0.8: icmp_seq=645 ttl=64 time=6654 ms
64 bytes from 10.0.0.8: icmp_seq=646 ttl=64 time=6875 ms
64 bytes from 10.0.0.8: icmp_seq=647 ttl=64 time=6849 ms
64 bytes from 10.0.0.8: icmp_seq=648 ttl=64 time=6829 ms
64 bytes from 10.0.0.8: icmp_seq=649 ttl=64 time=6805 ms
64 bytes from 10.0.0.8: icmp_seq=650 ttl=64 time=6785 ms
64 bytes from 10.0.0.8: icmp_seq=651 ttl=64 time=6761 ms
64 bytes from 10.0.0.8: icmp_seq=652 ttl=64 time=6739 ms
64 bytes from 10.0.0.8: icmp_seq=653 ttl=64 time=6715 ms
64 bytes from 10.0.0.8: icmp_seq=654 ttl=64 time=6937 ms
64 bytes from 10.0.0.8: icmp_seq=655 ttl=64 time=6912 ms
64 bytes from 10.0.0.8: icmp_seq=656 ttl=64 time=6891 ms
64 bytes from 10.0.0.8: icmp_seq=657 ttl=64 time=6867 ms
64 bytes from 10.0.0.8: icmp_seq=662 ttl=64 time=7013 ms
64 bytes from 10.0.0.8: icmp_seq=663 ttl=64 time=6996 ms
64 bytes from 10.0.0.8: icmp_seq=664 ttl=64 time=6982 ms
64 bytes from 10.0.0.8: icmp_seq=665 ttl=64 time=6966 ms
64 bytes from 10.0.0.8: icmp_seq=666 ttl=64 time=6954 ms
64 bytes from 10.0.0.8: icmp_seq=667 ttl=64 time=6932 ms
64 bytes from 10.0.0.8: icmp_seq=668 ttl=64 time=6905 ms
64 bytes from 10.0.0.8: icmp_seq=669 ttl=64 time=6880 ms
64 bytes from 10.0.0.8: icmp_seq=670 ttl=64 time=7123 ms
64 bytes from 10.0.0.8: icmp_seq=671 ttl=64 time=7100 ms
64 bytes from 10.0.0.8: icmp_seq=672 ttl=64 time=7082 ms
64 bytes from 10.0.0.8: icmp_seq=673 ttl=64 time=7059 ms
64 bytes from 10.0.0.8: icmp_seq=674 ttl=64 time=7040 ms
64 bytes from 10.0.0.8: icmp_seq=675 ttl=64 time=7015 ms
64 bytes from 10.0.0.8: icmp_seq=676 ttl=64 time=6995 ms
64 bytes from 10.0.0.8: icmp_seq=677 ttl=64 time=6970 ms
64 bytes from 10.0.0.8: icmp_seq=678 ttl=64 time=7194 ms
64 bytes from 10.0.0.8: icmp_seq=679 ttl=64 time=7168 ms
64 bytes from 10.0.0.8: icmp_seq=680 ttl=64 time=7148 ms
64 bytes from 10.0.0.8: icmp_seq=681 ttl=64 time=7123 ms
64 bytes from 10.0.0.8: icmp_seq=682 ttl=64 time=7099 ms
64 bytes from 10.0.0.8: icmp_seq=683 ttl=64 time=7076 ms
64 bytes from 10.0.0.8: icmp_seq=684 ttl=64 time=7055 ms
64 bytes from 10.0.0.8: icmp_seq=685 ttl=64 time=7274 ms
64 bytes from 10.0.0.8: icmp_seq=686 ttl=64 time=7254 ms
64 bytes from 10.0.0.8: icmp_seq=687 ttl=64 time=7226 ms
64 bytes from 10.0.0.8: icmp_seq=688 ttl=64 time=7203 ms
64 bytes from 10.0.0.8: icmp_seq=689 ttl=64 time=7178 ms
64 bytes from 10.0.0.8: icmp_seq=690 ttl=64 time=7157 ms
64 bytes from 10.0.0.8: icmp_seq=691 ttl=64 time=7131 ms
64 bytes from 10.0.0.8: icmp_seq=692 ttl=64 time=7112 ms
64 bytes from 10.0.0.8: icmp_seq=693 ttl=64 time=7328 ms
64 bytes from 10.0.0.8: icmp_seq=694 ttl=64 time=7307 ms
64 bytes from 10.0.0.8: icmp_seq=695 ttl=64 time=7282 ms
64 bytes from 10.0.0.8: icmp_seq=696 ttl=64 time=7261 ms
64 bytes from 10.0.0.8: icmp_seq=697 ttl=64 time=7234 ms
64 bytes from 10.0.0.8: icmp_seq=698 ttl=64 time=7212 ms
64 bytes from 10.0.0.8: icmp_seq=699 ttl=64 time=7186 ms
64 bytes from 10.0.0.8: icmp_seq=700 ttl=64 time=7406 ms
64 bytes from 10.0.0.8: icmp_seq=701 ttl=64 time=7384 ms
64 bytes from 10.0.0.8: icmp_seq=702 ttl=64 time=7362 ms
64 bytes from 10.0.0.8: icmp_seq=703 ttl=64 time=7338 ms
64 bytes from 10.0.0.8: icmp_seq=704 ttl=64 time=7315 ms
64 bytes from 10.0.0.8: icmp_seq=705 ttl=64 time=7291 ms
64 bytes from 10.0.0.8: icmp_seq=706 ttl=64 time=7268 ms
64 bytes from 10.0.0.8: icmp_seq=707 ttl=64 time=7486 ms
64 bytes from 10.0.0.8: icmp_seq=708 ttl=64 time=7466 ms
64 bytes from 10.0.0.8: icmp_seq=709 ttl=64 time=7442 ms
64 bytes from 10.0.0.8: icmp_seq=710 ttl=64 time=7422 ms
64 bytes from 10.0.0.8: icmp_seq=711 ttl=64 time=7398 ms
64 bytes from 10.0.0.8: icmp_seq=712 ttl=64 time=7379 ms
64 bytes from 10.0.0.8: icmp_seq=713 ttl=64 time=7356 ms
64 bytes from 10.0.0.8: icmp_seq=717 ttl=64 time=8739 ms
64 bytes from 10.0.0.8: icmp_seq=718 ttl=64 time=7738 ms
64 bytes from 10.0.0.8: icmp_seq=719 ttl=64 time=7467 ms
64 bytes from 10.0.0.8: icmp_seq=720 ttl=64 time=7450 ms
64 bytes from 10.0.0.8: icmp_seq=721 ttl=64 time=7429 ms
64 bytes from 10.0.0.8: icmp_seq=722 ttl=64 time=7656 ms
64 bytes from 10.0.0.8: icmp_seq=723 ttl=64 time=7625 ms
64 bytes from 10.0.0.8: icmp_seq=724 ttl=64 time=7610 ms
64 bytes from 10.0.0.8: icmp_seq=725 ttl=64 time=7584 ms
64 bytes from 10.0.0.8: icmp_seq=726 ttl=64 time=7563 ms
64 bytes from 10.0.0.8: icmp_seq=727 ttl=64 time=7538 ms
64 bytes from 10.0.0.8: icmp_seq=728 ttl=64 time=7518 ms
64 bytes from 10.0.0.8: icmp_seq=729 ttl=64 time=7737 ms
64 bytes from 10.0.0.8: icmp_seq=730 ttl=64 time=7717 ms
64 bytes from 10.0.0.8: icmp_seq=731 ttl=64 time=7693 ms
64 bytes from 10.0.0.8: icmp_seq=732 ttl=64 time=7673 ms
64 bytes from 10.0.0.8: icmp_seq=733 ttl=64 time=7652 ms
64 bytes from 10.0.0.8: icmp_seq=734 ttl=64 time=7636 ms
64 bytes from 10.0.0.8: icmp_seq=735 ttl=64 time=7610 ms
64 bytes from 10.0.0.8: icmp_seq=736 ttl=64 time=7593 ms
64 bytes from 10.0.0.8: icmp_seq=737 ttl=64 time=7820 ms
64 bytes from 10.0.0.8: icmp_seq=738 ttl=64 time=7803 ms
64 bytes from 10.0.0.8: icmp_seq=739 ttl=64 time=7779 ms
64 bytes from 10.0.0.8: icmp_seq=740 ttl=64 time=7763 ms
64 bytes from 10.0.0.8: icmp_seq=741 ttl=64 time=7738 ms
64 bytes from 10.0.0.8: icmp_seq=742 ttl=64 time=7746 ms
64 bytes from 10.0.0.8: icmp_seq=743 ttl=64 time=7722 ms
