16242
PING 10.0.0.8 (10.0.0.8) 56(84) bytes of data.
64 bytes from 10.0.0.8: icmp_seq=86 ttl=64 time=904 ms
64 bytes from 10.0.0.8: icmp_seq=87 ttl=64 time=886 ms
64 bytes from 10.0.0.8: icmp_seq=88 ttl=64 time=1103 ms
64 bytes from 10.0.0.8: icmp_seq=89 ttl=64 time=1084 ms
64 bytes from 10.0.0.8: icmp_seq=90 ttl=64 time=1059 ms
64 bytes from 10.0.0.8: icmp_seq=91 ttl=64 time=1036 ms
64 bytes from 10.0.0.8: icmp_seq=92 ttl=64 time=1011 ms
64 bytes from 10.0.0.8: icmp_seq=93 ttl=64 time=988 ms
64 bytes from 10.0.0.8: icmp_seq=94 ttl=64 time=966 ms
64 bytes from 10.0.0.8: icmp_seq=95 ttl=64 time=1188 ms
64 bytes from 10.0.0.8: icmp_seq=96 ttl=64 time=1166 ms
64 bytes from 10.0.0.8: icmp_seq=97 ttl=64 time=1144 ms
64 bytes from 10.0.0.8: icmp_seq=98 ttl=64 time=1120 ms
64 bytes from 10.0.0.8: icmp_seq=99 ttl=64 time=1098 ms
64 bytes from 10.0.0.8: icmp_seq=100 ttl=64 time=1074 ms
64 bytes from 10.0.0.8: icmp_seq=101 ttl=64 time=1053 ms
64 bytes from 10.0.0.8: icmp_seq=102 ttl=64 time=1027 ms
64 bytes from 10.0.0.8: icmp_seq=103 ttl=64 time=1248 ms
64 bytes from 10.0.0.8: icmp_seq=104 ttl=64 time=1221 ms
64 bytes from 10.0.0.8: icmp_seq=105 ttl=64 time=1204 ms
64 bytes from 10.0.0.8: icmp_seq=106 ttl=64 time=1184 ms
64 bytes from 10.0.0.8: icmp_seq=107 ttl=64 time=1163 ms
64 bytes from 10.0.0.8: icmp_seq=108 ttl=64 time=1140 ms
64 bytes from 10.0.0.8: icmp_seq=109 ttl=64 time=1119 ms
64 bytes from 10.0.0.8: icmp_seq=110 ttl=64 time=1337 ms
64 bytes from 10.0.0.8: icmp_seq=111 ttl=64 time=1318 ms
64 bytes from 10.0.0.8: icmp_seq=112 ttl=64 time=1295 ms
64 bytes from 10.0.0.8: icmp_seq=113 ttl=64 time=1276 ms
64 bytes from 10.0.0.8: icmp_seq=114 ttl=64 time=1250 ms
64 bytes from 10.0.0.8: icmp_seq=115 ttl=64 time=1230 ms
64 bytes from 10.0.0.8: icmp_seq=116 ttl=64 time=1207 ms
64 bytes from 10.0.0.8: icmp_seq=117 ttl=64 time=1188 ms
64 bytes from 10.0.0.8: icmp_seq=118 ttl=64 time=1406 ms
64 bytes from 10.0.0.8: icmp_seq=119 ttl=64 time=1387 ms
64 bytes from 10.0.0.8: icmp_seq=120 ttl=64 time=1360 ms
64 bytes from 10.0.0.8: icmp_seq=121 ttl=64 time=1340 ms
64 bytes from 10.0.0.8: icmp_seq=122 ttl=64 time=1316 ms
64 bytes from 10.0.0.8: icmp_seq=123 ttl=64 time=1299 ms
64 bytes from 10.0.0.8: icmp_seq=124 ttl=64 time=1274 ms
64 bytes from 10.0.0.8: icmp_seq=125 ttl=64 time=1262 ms
64 bytes from 10.0.0.8: icmp_seq=126 ttl=64 time=1482 ms
64 bytes from 10.0.0.8: icmp_seq=127 ttl=64 time=1462 ms
64 bytes from 10.0.0.8: icmp_seq=128 ttl=64 time=1440 ms
64 bytes from 10.0.0.8: icmp_seq=129 ttl=64 time=1424 ms
