13856
PING 10.0.0.8 (10.0.0.8) 56(84) bytes of data.
64 bytes from 10.0.0.8: icmp_seq=66 ttl=64 time=0.200 ms
64 bytes from 10.0.0.8: icmp_seq=67 ttl=64 time=0.088 ms
64 bytes from 10.0.0.8: icmp_seq=68 ttl=64 time=0.001 ms
64 bytes from 10.0.0.8: icmp_seq=69 ttl=64 time=0.094 ms
64 bytes from 10.0.0.8: icmp_seq=70 ttl=64 time=0.090 ms
64 bytes from 10.0.0.8: icmp_seq=71 ttl=64 time=0.288 ms
64 bytes from 10.0.0.8: icmp_seq=72 ttl=64 time=0.249 ms
64 bytes from 10.0.0.8: icmp_seq=73 ttl=64 time=0.085 ms
64 bytes from 10.0.0.8: icmp_seq=74 ttl=64 time=0.087 ms
64 bytes from 10.0.0.8: icmp_seq=75 ttl=64 time=0.104 ms
64 bytes from 10.0.0.8: icmp_seq=76 ttl=64 time=0.221 ms
64 bytes from 10.0.0.8: icmp_seq=77 ttl=64 time=0.199 ms
64 bytes from 10.0.0.8: icmp_seq=78 ttl=64 time=0.297 ms
64 bytes from 10.0.0.8: icmp_seq=79 ttl=64 time=0.082 ms
64 bytes from 10.0.0.8: icmp_seq=80 ttl=64 time=0.151 ms
64 bytes from 10.0.0.8: icmp_seq=81 ttl=64 time=0.131 ms
64 bytes from 10.0.0.8: icmp_seq=82 ttl=64 time=0.103 ms
64 bytes from 10.0.0.8: icmp_seq=83 ttl=64 time=0.204 ms
64 bytes from 10.0.0.8: icmp_seq=84 ttl=64 time=0.090 ms
64 bytes from 10.0.0.8: icmp_seq=85 ttl=64 time=0.215 ms
64 bytes from 10.0.0.8: icmp_seq=86 ttl=64 time=0.092 ms
64 bytes from 10.0.0.8: icmp_seq=87 ttl=64 time=0.222 ms
64 bytes from 10.0.0.8: icmp_seq=88 ttl=64 time=0.235 ms
64 bytes from 10.0.0.8: icmp_seq=89 ttl=64 time=0.085 ms
64 bytes from 10.0.0.8: icmp_seq=90 ttl=64 time=0.179 ms
64 bytes from 10.0.0.8: icmp_seq=91 ttl=64 time=0.190 ms
64 bytes from 10.0.0.8: icmp_seq=92 ttl=64 time=0.226 ms
64 bytes from 10.0.0.8: icmp_seq=93 ttl=64 time=0.081 ms
64 bytes from 10.0.0.8: icmp_seq=94 ttl=64 time=0.233 ms
64 bytes from 10.0.0.8: icmp_seq=95 ttl=64 time=0.087 ms
64 bytes from 10.0.0.8: icmp_seq=96 ttl=64 time=0.169 ms
64 bytes from 10.0.0.8: icmp_seq=97 ttl=64 time=0.094 ms
64 bytes from 10.0.0.8: icmp_seq=98 ttl=64 time=0.077 ms
64 bytes from 10.0.0.8: icmp_seq=99 ttl=64 time=0.094 ms
64 bytes from 10.0.0.8: icmp_seq=100 ttl=64 time=0.214 ms

--- 10.0.0.8 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 98998ms
rtt min/avg/max/mdev = 0.001/0.416/27.184/2.691 ms
