13856
data.
27.1
0.221
0.166
0.083
0.085
0.058
0.186
0.062
0.335
0.112
0.172
0.083
0.084
0.168
0.121
0.090
0.212
0.554
0.092
0.089
0.088
0.087
0.077
0.085
0.093
0.075
0.260
0.086
0.092
0.087
0.247
0.274
0.179
0.095
0.087
0.095
0.243
0.090
0.233
0.152
0.086
0.118
0.231
0.066
0.240
0.148
0.296
0.075
0.086
0.254
0.273
0.164
0.089
0.266
0.089
0.087
0.196
0.082
0.086
0.088
0.054
0.087
0.071
0.116
0.186
0.200
0.088
0.001
0.094
0.090
0.288
0.249
0.085
0.087
0.104
0.221
0.199
0.297
0.082
0.151
0.131
0.103
0.204
0.090
0.215
0.092
0.222
0.235
0.085
0.179
0.190
0.226
0.081
0.233
0.087
0.169
0.094
0.077
0.094
0.214


packet

